[507/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:300  	lastexch:68  	cond:0
[508/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:46  	lastexch:68  	cond:37
[509/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:14  	lastexch:68  	cond:37
[510/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:25  	lastexch:68  	cond:37
[511/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:225851  	lastexch:80  	cond:0
[512/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:225851  	lastexch:80  	cond:16
[513/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:94  	lastexch:68  	cond:37
[516/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:550  	lastexch:84  	cond:0
[517/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:50  	lastexch:84  	cond:37
[518/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:700  	lastexch:84  	cond:0
[519/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:250  	lastexch:84  	cond:0
[520/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:300  	lastexch:84  	cond:0
[524/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:100  	lastexch:66  	cond:0
[525/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:200  	lastexch:84  	cond:0
[526/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:100  	lastexch:89  	cond:0
[527/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:500  	lastexch:68  	cond:0
[528/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:100  	lastexch:84  	cond:0
[529/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:100  	lastexch:84  	cond:0
[530/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:200  	lastexch:90  	cond:0
[535/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:100  	lastexch:84  	cond:0
[538/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:10  	lastexch:68  	cond:37
[542/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:970  	lastexch:90  	cond:0
[543/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:30  	lastexch:90  	cond:37
[545/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:5  	lastexch:68  	cond:37
[546/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:325  	lastexch:90  	cond:0
[547/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:100  	lastexch:84  	cond:0
