[231/47861] [12/1/2014 9:31:10] TRADE   	[last:56.83  	lastsize:100  	lastexch:68  	cond:0
[232/47861] [12/1/2014 9:31:10] TRADE   	[last:56.9699  	lastsize:100  	lastexch:68  	cond:0
[233/47861] [12/1/2014 9:31:10] TRADE   	[last:56.9699  	lastsize:100  	lastexch:68  	cond:0
[234/47861] [12/1/2014 9:31:10] TRADE   	[last:56.9699  	lastsize:100  	lastexch:68  	cond:0
[235/47861] [12/1/2014 9:31:10] TRADE   	[last:56.9699  	lastsize:100  	lastexch:68  	cond:0
[236/47861] [12/1/2014 9:31:10] TRADE   	[last:56.9699  	lastsize:100  	lastexch:68  	cond:0
[237/47861] [12/1/2014 9:31:10] TRADE   	[last:56.97  	lastsize:100  	lastexch:68  	cond:0
[240/47861] [12/1/2014 9:31:10] TRADE   	[last:56.97  	lastsize:100  	lastexch:75  	cond:0
[242/47861] [12/1/2014 9:31:10] TRADE   	[last:56.9699  	lastsize:100  	lastexch:68  	cond:0
[243/47861] [12/1/2014 9:31:10] TRADE   	[last:56.9699  	lastsize:200  	lastexch:68  	cond:0
[244/47861] [12/1/2014 9:31:10] TRADE   	[last:56.97  	lastsize:200  	lastexch:68  	cond:0
[248/47861] [12/1/2014 9:31:10] TRADE   	[last:56.97  	lastsize:200  	lastexch:75  	cond:0
[249/47861] [12/1/2014 9:31:10] TRADE   	[last:56.98  	lastsize:100  	lastexch:78  	cond:0
[250/47861] [12/1/2014 9:31:10] TRADE   	[last:57.00  	lastsize:100  	lastexch:78  	cond:0
[252/47861] [12/1/2014 9:31:10] TRADE   	[last:56.97  	lastsize:74  	lastexch:75  	cond:37
[253/47861] [12/1/2014 9:31:10] TRADE   	[last:57.00  	lastsize:1000  	lastexch:75  	cond:0
[254/47861] [12/1/2014 9:31:10] TRADE   	[last:57.00  	lastsize:72  	lastexch:75  	cond:37
[255/47861] [12/1/2014 9:31:10] TRADE   	[last:56.83  	lastsize:85  	lastexch:68  	cond:37
[257/47861] [12/1/2014 9:31:10] TRADE   	[last:56.9699  	lastsize:200  	lastexch:68  	cond:0
[258/47861] [12/1/2014 9:31:10] TRADE   	[last:56.99  	lastsize:100  	lastexch:68  	cond:0
[259/47861] [12/1/2014 9:31:10] TRADE   	[last:56.96  	lastsize:15  	lastexch:68  	cond:37
[260/47861] [12/1/2014 9:31:10] TRADE   	[last:56.96  	lastsize:100  	lastexch:68  	cond:0
[262/47861] [12/1/2014 9:31:12] TRADE   	[last:56.85  	lastsize:500  	lastexch:68  	cond:0
[267/47861] [12/1/2014 9:31:16] TRADE   	[last:56.89  	lastsize:100  	lastexch:78  	cond:0
[268/47861] [12/1/2014 9:31:16] TRADE   	[last:56.87  	lastsize:200  	lastexch:78  	cond:0
[269/47861] [12/1/2014 9:31:16] TRADE   	[last:56.86  	lastsize:300  	lastexch:78  	cond:0
[270/47861] [12/1/2014 9:31:16] TRADE   	[last:56.85  	lastsize:100  	lastexch:78  	cond:0
[271/47861] [12/1/2014 9:31:16] TRADE   	[last:56.92  	lastsize:100  	lastexch:66  	cond:0
[272/47861] [12/1/2014 9:31:18] TRADE   	[last:56.9186  	lastsize:1300  	lastexch:68  	cond:0
