[110/5404] [12/1/2014 9:34:7] QUOTE   	[bid:11.76  	ask:11.83   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[111/5404] [12/1/2014 9:34:12] QUOTE   	[bid:11.76  	ask:11.83   	bidsize:2  	asksize:2  	bidexch:81  	askexch:81  	cond:0
[112/5404] [12/1/2014 9:34:24] QUOTE   	[bid:11.76  	ask:11.83   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[113/5404] [12/1/2014 9:34:25] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[114/5404] [12/1/2014 9:34:46] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[116/5404] [12/1/2014 9:34:46] QUOTE   	[bid:11.76  	ask:11.85   	bidsize:2  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[119/5404] [12/1/2014 9:34:51] QUOTE   	[bid:11.76  	ask:11.84   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[120/5404] [12/1/2014 9:34:52] QUOTE   	[bid:11.76  	ask:11.85   	bidsize:2  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[121/5404] [12/1/2014 9:34:56] QUOTE   	[bid:11.76  	ask:11.84   	bidsize:2  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[122/5404] [12/1/2014 9:35:1] QUOTE   	[bid:11.76  	ask:11.84   	bidsize:2  	asksize:2  	bidexch:81  	askexch:81  	cond:0
[123/5404] [12/1/2014 9:35:33] QUOTE   	[bid:11.76  	ask:11.83   	bidsize:2  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[124/5404] [12/1/2014 9:35:37] QUOTE   	[bid:11.76  	ask:11.83   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[125/5404] [12/1/2014 9:35:45] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[128/5404] [12/1/2014 9:35:46] QUOTE   	[bid:11.76  	ask:11.83   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[129/5404] [12/1/2014 9:35:54] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[130/5404] [12/1/2014 9:35:54] QUOTE   	[bid:11.76  	ask:11.81   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[132/5404] [12/1/2014 9:35:55] QUOTE   	[bid:11.76  	ask:11.81   	bidsize:2  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[135/5404] [12/1/2014 9:35:55] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[138/5404] [12/1/2014 9:35:55] QUOTE   	[bid:11.76  	ask:11.81   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[139/5404] [12/1/2014 9:35:56] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[141/5404] [12/1/2014 9:35:58] QUOTE   	[bid:11.76  	ask:11.84   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[142/5404] [12/1/2014 9:36:6] QUOTE   	[bid:11.76  	ask:11.83   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[143/5404] [12/1/2014 9:36:9] QUOTE   	[bid:11.76  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[144/5404] [12/1/2014 9:36:9] QUOTE   	[bid:11.76  	ask:11.83   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[146/5404] [12/1/2014 9:36:10] QUOTE   	[bid:11.76  	ask:11.83   	bidsize:2  	asksize:2  	bidexch:81  	askexch:81  	cond:0
[149/5404] [12/1/2014 9:36:13] QUOTE   	[bid:11.76  	ask:11.83   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[150/5404] [12/1/2014 9:36:16] QUOTE   	[bid:11.77  	ask:11.83   	bidsize:1  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[151/5404] [12/1/2014 9:36:16] QUOTE   	[bid:11.77  	ask:11.83   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[152/5404] [12/1/2014 9:36:16] QUOTE   	[bid:11.77  	ask:11.83   	bidsize:3  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[153/5404] [12/1/2014 9:36:19] QUOTE   	[bid:11.79  	ask:11.83   	bidsize:1  	asksize:1  	bidexch:75  	askexch:81  	cond:0
[155/5404] [12/1/2014 9:36:19] QUOTE   	[bid:11.79  	ask:11.84   	bidsize:1  	asksize:1  	bidexch:75  	askexch:81  	cond:0
[157/5404] [12/1/2014 9:36:19] QUOTE   	[bid:11.79  	ask:11.94   	bidsize:1  	asksize:5  	bidexch:75  	askexch:81  	cond:0
[158/5404] [12/1/2014 9:36:19] QUOTE   	[bid:11.79  	ask:11.93   	bidsize:1  	asksize:1  	bidexch:75  	askexch:80  	cond:0
[159/5404] [12/1/2014 9:36:19] QUOTE   	[bid:11.79  	ask:11.91   	bidsize:1  	asksize:1  	bidexch:75  	askexch:66  	cond:0
[160/5404] [12/1/2014 9:36:19] QUOTE   	[bid:11.79  	ask:11.90   	bidsize:1  	asksize:1  	bidexch:75  	askexch:81  	cond:0
[161/5404] [12/1/2014 9:36:22] QUOTE   	[bid:11.80  	ask:11.90   	bidsize:1  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[162/5404] [12/1/2014 9:36:22] QUOTE   	[bid:11.80  	ask:11.91   	bidsize:1  	asksize:1  	bidexch:81  	askexch:66  	cond:0
[163/5404] [12/1/2014 9:36:27] QUOTE   	[bid:11.80  	ask:11.90   	bidsize:1  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[164/5404] [12/1/2014 9:36:27] QUOTE   	[bid:11.80  	ask:11.90   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[165/5404] [12/1/2014 9:36:28] QUOTE   	[bid:11.80  	ask:11.90   	bidsize:1  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[166/5404] [12/1/2014 9:36:28] QUOTE   	[bid:11.80  	ask:11.93   	bidsize:1  	asksize:1  	bidexch:75  	askexch:80  	cond:0
[167/5404] [12/1/2014 9:36:43] QUOTE   	[bid:11.81  	ask:11.93   	bidsize:1  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[168/5404] [12/1/2014 9:36:43] QUOTE   	[bid:11.81  	ask:11.94   	bidsize:1  	asksize:5  	bidexch:81  	askexch:81  	cond:0
[169/5404] [12/1/2014 9:36:45] QUOTE   	[bid:11.81  	ask:11.94   	bidsize:1  	asksize:6  	bidexch:81  	askexch:81  	cond:0
[170/5404] [12/1/2014 9:36:46] QUOTE   	[bid:11.81  	ask:11.93   	bidsize:1  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[171/5404] [12/1/2014 9:36:50] QUOTE   	[bid:11.82  	ask:11.93   	bidsize:1  	asksize:1  	bidexch:75  	askexch:80  	cond:0
[172/5404] [12/1/2014 9:36:50] QUOTE   	[bid:11.82  	ask:11.94   	bidsize:1  	asksize:5  	bidexch:75  	askexch:81  	cond:0
[173/5404] [12/1/2014 9:36:52] QUOTE   	[bid:11.82  	ask:11.93   	bidsize:1  	asksize:1  	bidexch:75  	askexch:80  	cond:0
[174/5404] [12/1/2014 9:36:57] QUOTE   	[bid:11.83  	ask:11.93   	bidsize:1  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[175/5404] [12/1/2014 9:36:57] QUOTE   	[bid:11.83  	ask:11.94   	bidsize:1  	asksize:5  	bidexch:81  	askexch:81  	cond:0
[178/5404] [12/1/2014 9:37:0] QUOTE   	[bid:11.83  	ask:11.93   	bidsize:1  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[179/5404] [12/1/2014 9:37:2] QUOTE   	[bid:11.82  	ask:11.93   	bidsize:1  	asksize:1  	bidexch:75  	askexch:80  	cond:0
[180/5404] [12/1/2014 9:37:3] QUOTE   	[bid:11.81  	ask:11.93   	bidsize:1  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[181/5404] [12/1/2014 9:37:5] QUOTE   	[bid:11.80  	ask:11.93   	bidsize:1  	asksize:1  	bidexch:75  	askexch:80  	cond:0
[182/5404] [12/1/2014 9:37:7] QUOTE   	[bid:11.75  	ask:11.93   	bidsize:1  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[184/5404] [12/1/2014 9:37:7] QUOTE   	[bid:11.75  	ask:11.91   	bidsize:1  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[185/5404] [12/1/2014 9:37:7] QUOTE   	[bid:11.75  	ask:11.90   	bidsize:1  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[187/5404] [12/1/2014 9:37:22] QUOTE   	[bid:11.75  	ask:11.88   	bidsize:1  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[188/5404] [12/1/2014 9:37:22] QUOTE   	[bid:11.75  	ask:11.87   	bidsize:1  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[189/5404] [12/1/2014 9:37:22] QUOTE   	[bid:11.75  	ask:11.86   	bidsize:1  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[190/5404] [12/1/2014 9:37:38] QUOTE   	[bid:11.75  	ask:11.84   	bidsize:1  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[192/5404] [12/1/2014 9:38:21] QUOTE   	[bid:11.61  	ask:11.84   	bidsize:1  	asksize:1  	bidexch:90  	askexch:80  	cond:0
[193/5404] [12/1/2014 9:38:21] QUOTE   	[bid:11.61  	ask:11.84   	bidsize:1  	asksize:1  	bidexch:66  	askexch:80  	cond:0
[194/5404] [12/1/2014 9:38:21] QUOTE   	[bid:11.61  	ask:11.84   	bidsize:1  	asksize:1  	bidexch:89  	askexch:80  	cond:0
[195/5404] [12/1/2014 9:38:21] QUOTE   	[bid:11.61  	ask:11.84   	bidsize:1  	asksize:1  	bidexch:74  	askexch:80  	cond:0
[196/5404] [12/1/2014 9:38:21] QUOTE   	[bid:11.61  	ask:11.84   	bidsize:1  	asksize:1  	bidexch:81  	askexch:80  	cond:0
[197/5404] [12/1/2014 9:38:21] QUOTE   	[bid:11.61  	ask:11.84   	bidsize:2  	asksize:1  	bidexch:89  	askexch:80  	cond:0
[198/5404] [12/1/2014 9:38:21] QUOTE   	[bid:11.61  	ask:11.83   	bidsize:2  	asksize:1  	bidexch:89  	askexch:80  	cond:0
[200/5404] [12/1/2014 9:38:21] QUOTE   	[bid:11.62  	ask:11.83   	bidsize:1  	asksize:1  	bidexch:81  	askexch:80  	cond:0
