[441/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:28  	lastexch:68  	cond:37
[443/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:100  	lastexch:80  	cond:0
[446/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:1388  	lastexch:68  	cond:0
[452/100000] [12/1/2014 9:30:0] TRADE   	[last:105.73  	lastsize:444  	lastexch:77  	cond:0
[453/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:130  	lastexch:68  	cond:37
[470/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:70  	lastexch:68  	cond:37
[472/100000] [12/1/2014 9:30:0] TRADE   	[last:105.731  	lastsize:15  	lastexch:68  	cond:0
[473/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:100  	lastexch:68  	cond:0
[474/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:10  	lastexch:66  	cond:0
[476/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:200  	lastexch:81  	cond:0
[477/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:150  	lastexch:81  	cond:0
[479/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:10  	lastexch:68  	cond:37
[489/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:5  	lastexch:68  	cond:37
[503/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:66  	cond:0
[514/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:66  	cond:0
[515/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:50  	lastexch:68  	cond:37
[518/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:2800  	lastexch:66  	cond:0
[519/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:66  	cond:0
[520/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:66  	cond:0
[521/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:12  	lastexch:68  	cond:37
[527/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:95  	lastexch:68  	cond:37
[532/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:4  	lastexch:68  	cond:37
[534/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:45  	lastexch:68  	cond:37
[545/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:120  	lastexch:68  	cond:9
[563/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:48  	lastexch:68  	cond:37
[565/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:35  	lastexch:68  	cond:37
[571/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:66  	cond:9
[572/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:66  	cond:9
[573/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:66  	cond:9
[574/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:100  	lastexch:75  	cond:0
[578/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:89  	cond:0
[579/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:89  	cond:0
[580/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:89  	cond:0
[581/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:100  	lastexch:90  	cond:0
[582/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:200  	lastexch:68  	cond:0
[583/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:25  	lastexch:68  	cond:37
[584/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:37  	lastexch:68  	cond:37
[586/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:3  	lastexch:68  	cond:37
[589/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:22  	lastexch:68  	cond:37
[593/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:1  	lastexch:68  	cond:37
[594/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:15  	lastexch:68  	cond:37
[597/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:146  	lastexch:68  	cond:0
[599/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:4  	lastexch:68  	cond:37
[600/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:181  	lastexch:68  	cond:0
[601/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:8  	lastexch:68  	cond:37
[602/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:264  	lastexch:68  	cond:0
[603/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:74  	cond:0
[604/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:74  	cond:0
[605/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:74  	cond:0
[606/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:74  	cond:0
[607/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:50  	lastexch:68  	cond:37
[608/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:4  	lastexch:68  	cond:37
[611/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:1  	lastexch:68  	cond:37
[612/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:61  	lastexch:74  	cond:37
[613/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:135  	lastexch:68  	cond:37
[614/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:2  	lastexch:68  	cond:37
[615/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:500  	lastexch:68  	cond:37
[616/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:1  	lastexch:68  	cond:37
[617/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:100  	lastexch:68  	cond:37
[621/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:272  	lastexch:68  	cond:37
[622/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:152  	lastexch:68  	cond:0
[623/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:139  	lastexch:68  	cond:0
[624/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:39  	lastexch:74  	cond:0
[630/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:75  	cond:37
[631/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:81  	cond:37
[632/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:66  	cond:37
[633/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:66  	cond:37
[636/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:5  	lastexch:68  	cond:37
[637/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:80  	lastexch:68  	cond:37
[638/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:425  	lastexch:68  	cond:37
[639/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:89  	cond:0
[640/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:6  	lastexch:68  	cond:37
[641/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:6  	lastexch:68  	cond:37
[642/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:89  	cond:37
[643/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:33  	lastexch:68  	cond:37
[644/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:43  	lastexch:68  	cond:37
[645/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:100  	lastexch:68  	cond:37
[646/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:1  	lastexch:68  	cond:37
[647/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:18  	lastexch:68  	cond:37
[648/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:1  	lastexch:68  	cond:37
[649/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:75  	lastexch:88  	cond:0
[651/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:72  	lastexch:68  	cond:37
[663/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:10  	lastexch:68  	cond:37
[664/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:500  	lastexch:88  	cond:37
[665/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:88  	cond:37
[666/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:88  	cond:37
[667/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:100  	lastexch:90  	cond:37
[668/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:100  	lastexch:75  	cond:37
[669/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:100  	lastexch:90  	cond:37
[671/100000] [12/1/2014 9:30:0] TRADE   	[last:105.75  	lastsize:100  	lastexch:81  	cond:0
[719/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:160  	lastexch:81  	cond:0
[720/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:200  	lastexch:81  	cond:0
[721/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:300  	lastexch:81  	cond:0
[722/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:240  	lastexch:81  	cond:0
[723/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:95  	lastexch:81  	cond:37
[724/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:95  	lastexch:81  	cond:37
[725/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:100  	lastexch:66  	cond:37
[766/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:200  	lastexch:80  	cond:37
[767/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:100  	lastexch:80  	cond:37
[768/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:40  	lastexch:75  	cond:0
[769/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:95  	lastexch:81  	cond:37
[770/100000] [12/1/2014 9:30:0] TRADE   	[last:105.76  	lastsize:110  	lastexch:81  	cond:37
[771/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:90  	lastexch:81  	cond:37
[783/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:100  	lastexch:80  	cond:37
[786/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:1  	lastexch:68  	cond:37
[787/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:6  	lastexch:68  	cond:37
[788/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:10  	lastexch:68  	cond:37
[791/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:110  	lastexch:81  	cond:0
[792/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:200  	lastexch:81  	cond:0
[793/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:200  	lastexch:81  	cond:0
[794/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:100  	lastexch:81  	cond:0
[795/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:100  	lastexch:81  	cond:0
[796/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:110  	lastexch:80  	cond:0
[823/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:22  	lastexch:68  	cond:37
[825/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:1  	lastexch:68  	cond:37
[829/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:550  	lastexch:81  	cond:0
[830/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:270  	lastexch:81  	cond:0
[831/100000] [12/1/2014 9:30:0] TRADE   	[last:105.78  	lastsize:100  	lastexch:66  	cond:0
[832/100000] [12/1/2014 9:30:0] TRADE   	[last:105.78  	lastsize:100  	lastexch:66  	cond:0
[835/100000] [12/1/2014 9:30:0] TRADE   	[last:105.78  	lastsize:100  	lastexch:89  	cond:0
[836/100000] [12/1/2014 9:30:0] TRADE   	[last:105.78  	lastsize:100  	lastexch:89  	cond:0
[837/100000] [12/1/2014 9:30:0] TRADE   	[last:105.78  	lastsize:100  	lastexch:89  	cond:0
[838/100000] [12/1/2014 9:30:0] TRADE   	[last:105.78  	lastsize:100  	lastexch:74  	cond:0
[839/100000] [12/1/2014 9:30:0] TRADE   	[last:105.78  	lastsize:100  	lastexch:74  	cond:0
[840/100000] [12/1/2014 9:30:0] TRADE   	[last:105.78  	lastsize:100  	lastexch:74  	cond:0
[841/100000] [12/1/2014 9:30:0] TRADE   	[last:105.78  	lastsize:100  	lastexch:74  	cond:0
[847/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:400  	lastexch:88  	cond:37
[848/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:68  	lastexch:88  	cond:37
[850/100000] [12/1/2014 9:30:0] TRADE   	[last:105.78  	lastsize:100  	lastexch:90  	cond:0
[851/100000] [12/1/2014 9:30:0] TRADE   	[last:105.78  	lastsize:100  	lastexch:90  	cond:0
[852/100000] [12/1/2014 9:30:0] TRADE   	[last:105.78  	lastsize:100  	lastexch:90  	cond:0
[853/100000] [12/1/2014 9:30:0] TRADE   	[last:105.78  	lastsize:100  	lastexch:90  	cond:0
[854/100000] [12/1/2014 9:30:0] TRADE   	[last:105.78  	lastsize:100  	lastexch:90  	cond:0
[855/100000] [12/1/2014 9:30:0] TRADE   	[last:105.78  	lastsize:320  	lastexch:90  	cond:0
[860/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:30  	lastexch:68  	cond:37
[864/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:200  	lastexch:81  	cond:0
[865/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:100  	lastexch:81  	cond:0
[869/100000] [12/1/2014 9:30:0] TRADE   	[last:105.74  	lastsize:67  	lastexch:68  	cond:37
[874/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:100  	lastexch:81  	cond:0
[875/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:200  	lastexch:81  	cond:0
[876/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:200  	lastexch:81  	cond:0
[877/100000] [12/1/2014 9:30:0] TRADE   	[last:105.77  	lastsize:1900  	lastexch:81  	cond:0
