[483/5404] [12/1/2014 9:47:53] TRADE   	[last:11.67  	lastsize:100  	lastexch:68  	cond:0
[489/5404] [12/1/2014 9:48:15] TRADE   	[last:11.635  	lastsize:100  	lastexch:68  	cond:0
[490/5404] [12/1/2014 9:48:15] TRADE   	[last:11.635  	lastsize:100  	lastexch:68  	cond:0
[493/5404] [12/1/2014 9:48:26] TRADE   	[last:11.65  	lastsize:300  	lastexch:80  	cond:0
[513/5404] [12/1/2014 9:48:33] TRADE   	[last:11.72  	lastsize:100  	lastexch:68  	cond:0
[520/5404] [12/1/2014 9:48:48] TRADE   	[last:11.735  	lastsize:400  	lastexch:68  	cond:0
[537/5404] [12/1/2014 9:50:47] TRADE   	[last:11.67  	lastsize:100  	lastexch:81  	cond:0
[559/5404] [12/1/2014 9:51:38] TRADE   	[last:11.5788  	lastsize:340  	lastexch:68  	cond:0
[571/5404] [12/1/2014 9:52:18] TRADE   	[last:11.56  	lastsize:100  	lastexch:66  	cond:0
[572/5404] [12/1/2014 9:52:18] TRADE   	[last:11.55  	lastsize:100  	lastexch:89  	cond:0
[573/5404] [12/1/2014 9:52:18] TRADE   	[last:11.62  	lastsize:400  	lastexch:80  	cond:0
[574/5404] [12/1/2014 9:52:18] TRADE   	[last:11.5501  	lastsize:100  	lastexch:68  	cond:0
[576/5404] [12/1/2014 9:52:18] TRADE   	[last:11.62  	lastsize:200  	lastexch:80  	cond:0
[577/5404] [12/1/2014 9:52:18] TRADE   	[last:11.55  	lastsize:200  	lastexch:80  	cond:0
[578/5404] [12/1/2014 9:52:18] TRADE   	[last:11.5501  	lastsize:200  	lastexch:68  	cond:0
[580/5404] [12/1/2014 9:52:18] TRADE   	[last:11.55  	lastsize:200  	lastexch:80  	cond:0
[581/5404] [12/1/2014 9:52:18] TRADE   	[last:11.5501  	lastsize:200  	lastexch:68  	cond:0
[582/5404] [12/1/2014 9:52:18] TRADE   	[last:11.5514  	lastsize:830  	lastexch:68  	cond:0
[584/5404] [12/1/2014 9:52:18] TRADE   	[last:11.62  	lastsize:100  	lastexch:68  	cond:0
[585/5404] [12/1/2014 9:52:18] TRADE   	[last:11.62  	lastsize:100  	lastexch:68  	cond:0
[600/5404] [12/1/2014 9:53:19] TRADE   	[last:11.55  	lastsize:100  	lastexch:80  	cond:0
[603/5404] [12/1/2014 9:53:19] TRADE   	[last:11.555  	lastsize:100  	lastexch:68  	cond:0
[604/5404] [12/1/2014 9:53:19] TRADE   	[last:11.555  	lastsize:100  	lastexch:68  	cond:0
[626/5404] [12/1/2014 9:54:10] TRADE   	[last:11.53  	lastsize:100  	lastexch:81  	cond:0
[627/5404] [12/1/2014 9:54:15] TRADE   	[last:11.54  	lastsize:100  	lastexch:68  	cond:0
[630/5404] [12/1/2014 9:54:20] TRADE   	[last:11.55  	lastsize:100  	lastexch:81  	cond:0
[631/5404] [12/1/2014 9:54:20] TRADE   	[last:11.5595  	lastsize:100  	lastexch:68  	cond:0
[632/5404] [12/1/2014 9:54:20] TRADE   	[last:11.56  	lastsize:100  	lastexch:68  	cond:0
[634/5404] [12/1/2014 9:54:27] TRADE   	[last:11.55  	lastsize:100  	lastexch:81  	cond:0
[635/5404] [12/1/2014 9:54:29] TRADE   	[last:11.55  	lastsize:52  	lastexch:81  	cond:0
[636/5404] [12/1/2014 9:54:29] TRADE   	[last:11.5595  	lastsize:52  	lastexch:68  	cond:0
[640/5404] [12/1/2014 9:54:35] TRADE   	[last:11.56  	lastsize:100  	lastexch:81  	cond:0
[664/5404] [12/1/2014 9:55:12] TRADE   	[last:11.67  	lastsize:200  	lastexch:68  	cond:0
